COUNTY,WEEK_END_DATE,TOTAL_CASES,TOTAL_DEATHS,TOTAL_HOSP,Year
Grainger,2024-12-28,9207,132,127,2024
Greene,2024-12-28,32246,451,883,2024
Grundy,2024-12-28,5109,85,121,2024
Hamblen,2024-12-28,27493,411,388,2024
Hamilton,2024-12-28,134902,1338,3260,2024
Hancock,2024-12-28,3003,44,64,2024
Hardeman,2024-12-28,10539,148,225,2024
Hardin,2024-12-28,12672,181,207,2024
Hawkins,2024-12-28,25730,407,659,2024
Haywood,2024-12-28,9218,110,166,2024
Henderson,2024-12-28,12722,199,214,2024
Henry,2024-12-28,11310,189,320,2024
Hickman,2024-12-28,9322,133,188,2024
Houston,2024-12-28,3304,68,109,2024
Humphreys,2024-12-28,6774,89,188,2024
Jackson,2024-12-28,4388,78,147,2024
Jefferson,2024-12-28,21827,327,298,2024
Johnson,2024-12-28,7037,123,227,2024
Knox,2024-12-28,177457,1706,3005,2024
Lake,2024-12-28,3517,49,56,2024
Lauderdale,2024-12-28,10772,122,174,2024
Lawrence,2024-12-28,18193,241,523,2024
Lewis,2024-12-28,4469,74,106,2024
Lincoln,2024-12-28,12714,197,260,2024
Loudon,2024-12-28,22619,245,272,2024
Macon,2024-12-28,11775,169,290,2024
Madison,2024-12-28,47915,504,561,2024
Marion,2024-12-28,12180,152,308,2024
Marshall,2024-12-28,13951,148,256,2024
Maury,2024-12-28,39421,411,709,2024
McMinn,2024-12-28,21020,310,480,2024
McNairy,2024-12-28,10660,153,138,2024
Meigs,2024-12-28,4559,67,125,2024
Monroe,2024-12-28,20491,287,494,2024
Montgomery,2024-12-28,74458,665,753,2024
Moore,2024-12-28,3121,41,44,2024
Morgan,2024-12-28,9025,110,100,2024
Obion,2024-12-28,14976,230,317,2024
Overton,2024-12-28,9300,140,277,2024
Perry,2024-12-28,3244,64,68,2024
Pickett,2024-12-28,2508,43,88,2024
Polk,2024-12-28,6073,91,180,2024
Putnam,2024-12-28,32956,354,779,2024
Rhea,2024-12-28,12922,179,249,2024
Roane,2024-12-28,22597,295,312,2024
Robertson,2024-12-28,30657,374,963,2024
Rutherford,2024-12-28,128791,1043,1852,2024
Scott,2024-12-28,13928,145,143,2024
Sequatchie,2024-12-28,5630,83,130,2024
Sevier,2024-12-28,40326,483,555,2024
Shelby,2024-12-28,329697,3876,9938,2024
Smith,2024-12-28,7919,105,166,2024
Stewart,2024-12-28,4120,75,90,2024
Sullivan,2024-12-28,71757,888,2278,2024
Sumner,2024-12-28,72681,867,1855,2024
Tipton,2024-12-28,25519,275,566,2024
Trousdale,2024-12-28,5092,54,119,2024
Unicoi,2024-12-28,7557,114,257,2024
Union,2024-12-28,7720,88,95,2024
Van Buren,2024-12-28,2505,57,54,2024
Warren,2024-12-28,17024,200,227,2024
Washington,2024-12-28,56244,602,1403,2024
Wayne,2024-12-28,7536,102,132,2024
Weakley,2024-12-28,13225,191,242,2024
White,2024-12-28,10847,162,300,2024
Williamson,2024-12-28,85245,484,1013,2024
Wilson,2024-12-28,58063,573,1093,2024
Unknown,2024-12-28,114840,507,1305,2024
Anderson,2024-12-21,31399,435,396,2024
Bedford,2024-12-21,20271,269,399,2024
Benton,2024-12-21,6726,108,143,2024
Bledsoe,2024-12-21,5998,66,106,2024
Blount,2024-12-21,57609,597,1087,2024
Bradley,2024-12-21,42725,495,1334,2024
Campbell,2024-12-21,18693,202,196,2024
Cannon,2024-12-21,5552,80,112,2024
Carroll,2024-12-21,13720,184,285,2024
Carter,2024-12-21,24599,397,828,2024
Cheatham,2024-12-21,14520,155,282,2024
Chester,2024-12-21,8108,109,109,2024
Claiborne,2024-12-21,12954,226,175,2024
Clay,2024-12-21,2922,64,89,2024
Cocke,2024-12-21,16685,258,186,2024
Coffee,2024-12-21,23736,320,467,2024
Crockett,2024-12-21,7816,100,82,2024
Cumberland,2024-12-21,21757,369,378,2024
Davidson,2024-12-21,260017,1968,4684,2024
Decatur,2024-12-21,5033,88,110,2024
Dekalb,2024-12-21,8710,120,160,2024
Dickson,2024-12-21,23316,285,506,2024
Dyer,2024-12-21,17310,233,238,2024
Fayette,2024-12-21,16155,209,491,2024
Fentress,2024-12-21,7436,150,234,2024
Franklin,2024-12-21,18692,222,221,2024
Gibson,2024-12-21,25752,315,341,2024
Giles,2024-12-21,12686,221,306,2024
Grainger,2024-12-21,9193,132,127,2024
Greene,2024-12-21,32215,451,882,2024
Grundy,2024-12-21,5107,85,121,2024
Hamblen,2024-12-21,27484,411,388,2024
Hamilton,2024-12-21,134856,1338,3260,2024
Hancock,2024-12-21,2996,44,64,2024
Hardeman,2024-12-21,10539,148,225,2024
Hardin,2024-12-21,12665,181,207,2024
Hawkins,2024-12-21,25685,407,659,2024
Haywood,2024-12-21,9216,110,166,2024
Henderson,2024-12-21,12718,199,214,2024
Henry,2024-12-21,11302,189,318,2024
Hickman,2024-12-21,9317,133,188,2024
Houston,2024-12-21,3303,68,109,2024
Humphreys,2024-12-21,6767,89,188,2024
Jackson,2024-12-21,4386,78,147,2024
Jefferson,2024-12-21,21818,327,298,2024
Johnson,2024-12-21,7033,123,227,2024
Knox,2024-12-21,177353,1706,3005,2024
Lake,2024-12-21,3511,49,56,2024
Lauderdale,2024-12-21,10770,122,173,2024
Lawrence,2024-12-21,18172,241,523,2024
Lewis,2024-12-21,4466,74,106,2024
