COUNTY,WEEK_END_DATE,TOTAL_CASES,TOTAL_DEATHS,TOTAL_HOSP,Year
Giles,2024-07-27,12352,219,303,2024
Grainger,2024-07-27,8990,130,126,2024
Greene,2024-07-27,31304,450,868,2024
Grundy,2024-07-27,5036,85,119,2024
Hamblen,2024-07-27,26897,403,386,2024
Hamilton,2024-07-27,132624,1331,3246,2024
Hancock,2024-07-27,2927,44,64,2024
Hardeman,2024-07-27,10357,147,223,2024
Hardin,2024-07-27,12314,180,205,2024
Hawkins,2024-07-27,24688,398,647,2024
Haywood,2024-07-27,9011,110,162,2024
Henderson,2024-07-27,12389,199,211,2024
Henry,2024-07-27,11112,186,309,2024
Hickman,2024-07-27,9197,132,187,2024
Houston,2024-07-27,3270,68,106,2024
Humphreys,2024-07-27,6720,88,188,2024
Jackson,2024-07-27,4300,78,144,2024
Jefferson,2024-07-27,21423,325,297,2024
Johnson,2024-07-27,6817,121,223,2024
Knox,2024-07-27,173817,1689,2999,2024
Lake,2024-07-27,3461,49,54,2024
Lauderdale,2024-07-27,10458,121,169,2024
Lawrence,2024-07-27,17923,239,516,2024
Lewis,2024-07-27,4400,73,106,2024
Lincoln,2024-07-27,12568,197,259,2024
Loudon,2024-07-27,22060,240,270,2024
Macon,2024-07-27,11524,166,288,2024
Madison,2024-07-27,46124,501,556,2024
Marion,2024-07-27,11951,152,307,2024
Marshall,2024-07-27,13717,146,254,2024
Maury,2024-07-27,38645,408,705,2024
McMinn,2024-07-27,20782,307,476,2024
McNairy,2024-07-27,10442,152,135,2024
Meigs,2024-07-27,4511,65,123,2024
Monroe,2024-07-27,20025,283,488,2024
Montgomery,2024-07-27,72361,663,750,2024
Moore,2024-07-27,3066,41,44,2024
Morgan,2024-07-27,8778,107,99,2024
Obion,2024-07-27,14685,227,308,2024
Overton,2024-07-27,9185,139,272,2024
Perry,2024-07-27,3133,64,68,2024
Pickett,2024-07-27,2435,41,87,2024
Polk,2024-07-27,6014,90,179,2024
Putnam,2024-07-27,32182,353,752,2024
Rhea,2024-07-27,12759,176,247,2024
Roane,2024-07-27,21991,292,311,2024
Robertson,2024-07-27,30063,363,951,2024
Rutherford,2024-07-27,126970,1036,1847,2024
Scott,2024-07-27,13576,144,143,2024
Sequatchie,2024-07-27,5532,81,130,2024
Sevier,2024-07-27,39570,478,554,2024
Shelby,2024-07-27,322836,3864,9898,2024
Smith,2024-07-27,7825,105,164,2024
Stewart,2024-07-27,4051,75,90,2024
Sullivan,2024-07-27,68674,880,2244,2024
Sumner,2024-07-27,71258,860,1843,2024
Tipton,2024-07-27,24742,274,559,2024
Trousdale,2024-07-27,5028,53,118,2024
Unicoi,2024-07-27,7374,113,253,2024
Union,2024-07-27,7525,86,95,2024
Van Buren,2024-07-27,2457,56,53,2024
Warren,2024-07-27,16843,198,226,2024
Washington,2024-07-27,54784,592,1364,2024
Wayne,2024-07-27,7431,100,131,2024
Weakley,2024-07-27,12898,191,234,2024
White,2024-07-27,10585,157,296,2024
Williamson,2024-07-27,83727,479,1003,2024
Wilson,2024-07-27,56784,566,1084,2024
Unknown,2024-07-27,111950,504,1291,2024
Anderson,2024-07-20,30696,429,394,2024
Bedford,2024-07-20,19823,266,398,2024
Benton,2024-07-20,6493,106,140,2024
Bledsoe,2024-07-20,5865,65,106,2024
Blount,2024-07-20,55753,588,1072,2024
Bradley,2024-07-20,42051,491,1317,2024
Campbell,2024-07-20,18138,199,195,2024
Cannon,2024-07-20,5497,79,112,2024
Carroll,2024-07-20,13284,183,283,2024
Carter,2024-07-20,23929,394,808,2024
Cheatham,2024-07-20,14246,154,281,2024
Chester,2024-07-20,7863,108,109,2024
Claiborne,2024-07-20,12512,224,175,2024
Clay,2024-07-20,2839,63,88,2024
Cocke,2024-07-20,16353,258,184,2024
Coffee,2024-07-20,23130,317,461,2024
Crockett,2024-07-20,7591,99,77,2024
Cumberland,2024-07-20,21280,362,377,2024
Davidson,2024-07-20,255112,1947,4633,2024
Decatur,2024-07-20,4950,87,103,2024
Dekalb,2024-07-20,8557,120,157,2024
Dickson,2024-07-20,22989,282,500,2024
Dyer,2024-07-20,16953,231,230,2024
Fayette,2024-07-20,15760,208,490,2024
Fentress,2024-07-20,7361,148,233,2024
Franklin,2024-07-20,18133,220,221,2024
Gibson,2024-07-20,24799,311,331,2024
Giles,2024-07-20,12345,219,303,2024
Grainger,2024-07-20,8981,130,126,2024
Greene,2024-07-20,31282,450,868,2024
Grundy,2024-07-20,5032,85,119,2024
Hamblen,2024-07-20,26868,403,385,2024
Hamilton,2024-07-20,132462,1331,3246,2024
Hancock,2024-07-20,2922,44,64,2024
Hardeman,2024-07-20,10328,147,223,2024
Hardin,2024-07-20,12296,180,204,2024
Hawkins,2024-07-20,24652,398,647,2024
Haywood,2024-07-20,8999,110,162,2024
Henderson,2024-07-20,12357,199,210,2024
Henry,2024-07-20,11099,186,309,2024
Hickman,2024-07-20,9192,132,187,2024
Houston,2024-07-20,3265,68,106,2024
Humphreys,2024-07-20,6718,88,188,2024
Jackson,2024-07-20,4284,78,144,2024
Jefferson,2024-07-20,21391,325,297,2024
Johnson,2024-07-20,6808,121,223,2024
Knox,2024-07-20,173555,1689,2998,2024
Lake,2024-07-20,3451,49,54,2024
Lauderdale,2024-07-20,10426,121,169,2024
Lawrence,2024-07-20,17914,239,515,2024
Lewis,2024-07-20,4399,73,106,2024
Lincoln,2024-07-20,12564,197,259,2024
Loudon,2024-07-20,22025,240,270,2024
Macon,2024-07-20,11519,166,288,2024
Madison,2024-07-20,45994,501,556,2024
Marion,2024-07-20,11932,152,307,2024
Marshall,2024-07-20,13708,146,254,2024
Maury,2024-07-20,38585,408,704,2024
McMinn,2024-07-20,20760,307,476,2024
McNairy,2024-07-20,10423,152,135,2024
Meigs,2024-07-20,4505,65,123,2024
Monroe,2024-07-20,19999,283,488,2024
Montgomery,2024-07-20,72209,663,750,2024
Moore,2024-07-20,3059,41,44,2024
Morgan,2024-07-20,8759,107,99,2024
Obion,2024-07-20,14678,227,308,2024
Overton,2024-07-20,9179,139,272,2024
Perry,2024-07-20,3133,64,68,2024
Pickett,2024-07-20,2428,41,87,2024
Polk,2024-07-20,6012,90,179,2024
Putnam,2024-07-20,32161,353,752,2024
Rhea,2024-07-20,12745,176,247,2024
Roane,2024-07-20,21962,292,311,2024
Robertson,2024-07-20,30032,363,951,2024
Rutherford,2024-07-20,126833,1036,1846,2024
Scott,2024-07-20,13564,144,143,2024
Sequatchie,2024-07-20,5519,81,130,2024
Sevier,2024-07-20,39532,478,554,2024
Shelby,2024-07-20,322299,3864,9897,2024
Smith,2024-07-20,7821,105,164,2024
Stewart,2024-07-20,4050,75,90,2024
Sullivan,2024-07-20,68567,880,2241,2024
Sumner,2024-07-20,71171,860,1842,2024
Tipton,2024-07-20,24669,274,558,2024
Trousdale,2024-07-20,5027,53,118,2024
Unicoi,2024-07-20,7367,113,252,2024
Union,2024-07-20,7520,86,95,2024
Van Buren,2024-07-20,2456,56,53,2024
Warren,2024-07-20,16795,198,225,2024
Washington,2024-07-20,54719,592,1362,2024
Wayne,2024-07-20,7425,100,131,2024
Weakley,2024-07-20,12892,191,234,2024
White,2024-07-20,10574,157,296,2024
Williamson,2024-07-20,83616,479,1002,2024
Wilson,2024-07-20,56709,566,1084,2024
Unknown,2024-07-20,111754,504,1291,2024
Anderson,2024-07-13,30671,428,394,2024
Bedford,2024-07-13,19804,266,398,2024
Benton,2024-07-13,6488,106,140,2024
Bledsoe,2024-07-13,5862,65,106,2024
Blount,2024-07-13,55685,588,1072,2024
Bradley,2024-07-13,42018,491,1316,2024
Campbell,2024-07-13,18116,199,195,2024
Cannon,2024-07-13,5497,79,112,2024
Carroll,2024-07-13,13263,183,283,2024
Carter,2024-07-13,23910,394,808,2024
Cheatham,2024-07-13,14239,154,281,2024
Chester,2024-07-13,7857,108,109,2024
Claiborne,2024-07-13,12496,224,175,2024
Clay,2024-07-13,2834,63,88,2024
Cocke,2024-07-13,16337,258,184,2024
Coffee,2024-07-13,23099,317,461,2024
Crockett,2024-07-13,7583,99,77,2024
Cumberland,2024-07-13,21266,362,377,2024
Davidson,2024-07-13,254744,1947,4629,2024
Decatur,2024-07-13,4950,87,103,2024
Dekalb,2024-07-13,8549,120,157,2024
Dickson,2024-07-13,22968,282,500,2024
Dyer,2024-07-13,16936,231,229,2024
Fayette,2024-07-13,15743,208,490,2024
Fentress,2024-07-13,7360,148,233,2024
Franklin,2024-07-13,18107,220,220,2024
Gibson,2024-07-13,24777,311,331,2024
Giles,2024-07-13,12338,219,303,2024
Grainger,2024-07-13,8972,130,126,2024
Greene,2024-07-13,31261,450,868,2024
Grundy,2024-07-13,5028,85,119,2024
Hamblen,2024-07-13,26833,403,385,2024
Hamilton,2024-07-13,132350,1331,3246,2024
Hancock,2024-07-13,2917,44,64,2024
Hardeman,2024-07-13,10313,147,223,2024
Hardin,2024-07-13,12262,180,203,2024
Hawkins,2024-07-13,24627,397,647,2024
Haywood,2024-07-13,8993,110,162,2024
Henderson,2024-07-13,12350,199,210,2024
Henry,2024-07-13,11092,186,309,2024
Hickman,2024-07-13,9186,132,187,2024
Houston,2024-07-13,3262,68,106,2024
Humphreys,2024-07-13,6717,88,188,2024
Jackson,2024-07-13,4282,78,144,2024
Jefferson,2024-07-13,21381,325,297,2024
Johnson,2024-07-13,6805,121,223,2024
Knox,2024-07-13,173340,1689,2998,2024
Lake,2024-07-13,3451,49,54,2024
Lauderdale,2024-07-13,10421,121,169,2024
Lawrence,2024-07-13,17907,239,515,2024
Lewis,2024-07-13,4393,73,106,2024
Lincoln,2024-07-13,12558,197,259,2024
Loudon,2024-07-13,21998,240,270,2024
Macon,2024-07-13,11506,166,288,2024
Madison,2024-07-13,45932,501,556,2024
Marion,2024-07-13,11922,152,307,2024
Marshall,2024-07-13,13701,146,254,2024
Maury,2024-07-13,38530,408,704,2024
McMinn,2024-07-13,20754,306,476,2024
McNairy,2024-07-13,10420,152,135,2024
Meigs,2024-07-13,4503,65,123,2024
Monroe,2024-07-13,19978,283,488,2024
Montgomery,2024-07-13,72095,663,750,2024
Moore,2024-07-13,3055,41,44,2024
Morgan,2024-07-13,8748,107,99,2024
Obion,2024-07-13,14665,227,308,2024
Overton,2024-07-13,9178,139,272,2024
Perry,2024-07-13,3131,64,68,2024
Pickett,2024-07-13,2426,41,87,2024
Polk,2024-07-13,6008,90,178,2024
Putnam,2024-07-13,32130,353,752,2024
Rhea,2024-07-13,12736,176,247,2024
Roane,2024-07-13,21935,292,311,2024
Robertson,2024-07-13,30011,363,951,2024
Rutherford,2024-07-13,126683,1036,1845,2024
Scott,2024-07-13,13552,144,143,2024
Sequatchie,2024-07-13,5515,81,130,2024
Sevier,2024-07-13,39499,478,554,2024
Shelby,2024-07-13,321868,3864,9896,2024
Smith,2024-07-13,7817,105,164,2024
Stewart,2024-07-13,4046,75,90,2024
Sullivan,2024-07-13,68493,880,2241,2024
Sumner,2024-07-13,71074,860,1840,2024
Tipton,2024-07-13,24630,274,558,2024
Trousdale,2024-07-13,5026,53,117,2024
Unicoi,2024-07-13,7364,113,252,2024
Union,2024-07-13,7514,86,95,2024
Van Buren,2024-07-13,2453,56,53,2024
Warren,2024-07-13,16761,198,225,2024
Washington,2024-07-13,54658,592,1362,2024
Wayne,2024-07-13,7421,100,131,2024
Weakley,2024-07-13,12882,191,234,2024
White,2024-07-13,10562,157,296,2024
Williamson,2024-07-13,83536,479,1002,2024
Wilson,2024-07-13,56625,566,1084,2024
Unknown,2024-07-13,111597,504,1291,2024
Anderson,2024-07-06,30646,427,394,2024
Bedford,2024-07-06,19795,266,398,2024
Benton,2024-07-06,6483,106,140,2024
Bledsoe,2024-07-06,5859,65,106,2024
Blount,2024-07-06,55603,588,1071,2024
Bradley,2024-07-06,42002,491,1316,2024
Campbell,2024-07-06,18105,199,195,2024
Cannon,2024-07-06,5497,79,112,2024
Carroll,2024-07-06,13252,183,281,2024
Carter,2024-07-06,23897,394,808,2024
Cheatham,2024-07-06,14225,154,281,2024
Chester,2024-07-06,7851,108,109,2024
Claiborne,2024-07-06,12487,224,175,2024
Clay,2024-07-06,2831,63,88,2024
Cocke,2024-07-06,16327,258,184,2024
Coffee,2024-07-06,23085,317,461,2024
Crockett,2024-07-06,7574,99,77,2024
Cumberland,2024-07-06,21259,362,377,2024
Davidson,2024-07-06,254474,1946,4627,2024
Decatur,2024-07-06,4949,87,103,2024
Dekalb,2024-07-06,8547,120,157,2024
Dickson,2024-07-06,22943,282,499,2024
Dyer,2024-07-06,16922,231,227,2024
Fayette,2024-07-06,15712,208,489,2024
Fentress,2024-07-06,7360,148,233,2024
Franklin,2024-07-06,18081,219,220,2024
Gibson,2024-07-06,24753,311,330,2024
Giles,2024-07-06,12332,219,303,2024
Grainger,2024-07-06,8968,130,126,2024
Greene,2024-07-06,31239,450,868,2024
Grundy,2024-07-06,5025,85,119,2024
Hamblen,2024-07-06,26824,403,385,2024
Hamilton,2024-07-06,132139,1331,3246,2024
Hancock,2024-07-06,2914,44,64,2024
Hardeman,2024-07-06,10307,147,223,2024
Hardin,2024-07-06,12251,180,202,2024
Hawkins,2024-07-06,24607,397,647,2024
Haywood,2024-07-06,8981,110,162,2024
Henderson,2024-07-06,12345,199,210,2024
Henry,2024-07-06,11080,186,309,2024
Hickman,2024-07-06,9184,132,187,2024
Houston,2024-07-06,3255,68,106,2024
Humphreys,2024-07-06,6716,88,188,2024
Jackson,2024-07-06,4276,78,143,2024
Jefferson,2024-07-06,21368,325,297,2024
Johnson,2024-07-06,6804,121,223,2024
Knox,2024-07-06,173195,1689,2998,2024
Lake,2024-07-06,3449,49,54,2024
Lauderdale,2024-07-06,10411,121,169,2024
Lawrence,2024-07-06,17899,239,515,2024
Lewis,2024-07-06,4393,73,106,2024
Lincoln,2024-07-06,12553,197,259,2024
Loudon,2024-07-06,21969,240,270,2024
Macon,2024-07-06,11492,166,288,2024
Madison,2024-07-06,45879,501,556,2024
Marion,2024-07-06,11914,152,307,2024
Marshall,2024-07-06,13693,146,254,2024
Maury,2024-07-06,38505,408,704,2024
McMinn,2024-07-06,20747,306,476,2024
McNairy,2024-07-06,10414,152,135,2024
Meigs,2024-07-06,4501,65,123,2024
Monroe,2024-07-06,19959,283,487,2024
Montgomery,2024-07-06,71968,663,750,2024
Moore,2024-07-06,3052,41,44,2024
Morgan,2024-07-06,8745,107,99,2024
Obion,2024-07-06,14661,227,308,2024
Overton,2024-07-06,9173,139,272,2024
Perry,2024-07-06,3130,64,68,2024
Pickett,2024-07-06,2424,41,87,2024
Polk,2024-07-06,6006,90,178,2024
Putnam,2024-07-06,32110,353,752,2024
Rhea,2024-07-06,12732,176,247,2024
Roane,2024-07-06,21920,292,311,2024
Robertson,2024-07-06,29990,363,951,2024
Rutherford,2024-07-06,126585,1036,1844,2024
Scott,2024-07-06,13543,144,143,2024
Sequatchie,2024-07-06,5513,81,130,2024
Sevier,2024-07-06,39479,477,554,2024
Shelby,2024-07-06,321569,3864,9896,2024
Smith,2024-07-06,7816,105,164,2024
Stewart,2024-07-06,4043,75,90,2024
Sullivan,2024-07-06,68429,880,2241,2024
Sumner,2024-07-06,70987,860,1838,2024
Tipton,2024-07-06,24592,274,558,2024
Trousdale,2024-07-06,5024,53,117,2024
Unicoi,2024-07-06,7361,113,252,2024
Union,2024-07-06,7506,86,95,2024
Van Buren,2024-07-06,2451,56,53,2024
Warren,2024-07-06,16759,198,225,2024
Washington,2024-07-06,54618,592,1359,2024
Wayne,2024-07-06,7420,100,131,2024
Weakley,2024-07-06,12878,191,234,2024
White,2024-07-06,10556,157,296,2024
Williamson,2024-07-06,83455,479,1002,2024
Wilson,2024-07-06,56573,566,1084,2024
Unknown,2024-07-06,111502,504,1291,2024
Anderson,2024-06-29,30620,427,394,2024
Bedford,2024-06-29,19789,266,397,2024
Benton,2024-06-29,6482,106,140,2024
Bledsoe,2024-06-29,5854,65,106,2024
Blount,2024-06-29,55546,588,1071,2024
Bradley,2024-06-29,41979,491,1316,2024
Campbell,2024-06-29,18097,199,195,2024
Cannon,2024-06-29,5496,79,112,2024
Carroll,2024-06-29,13242,183,281,2024
Carter,2024-06-29,23889,394,808,2024
Cheatham,2024-06-29,14216,154,281,2024
Chester,2024-06-29,7850,108,109,2024
Claiborne,2024-06-29,12482,224,175,2024
Clay,2024-06-29,2831,63,88,2024
Cocke,2024-06-29,16319,258,184,2024
Coffee,2024-06-29,23071,317,461,2024
Crockett,2024-06-29,7567,99,77,2024
Cumberland,2024-06-29,21242,362,377,2024
Davidson,2024-06-29,254261,1945,4625,2024
Decatur,2024-06-29,4949,87,103,2024
Dekalb,2024-06-29,8547,120,157,2024
Dickson,2024-06-29,22920,282,498,2024
Dyer,2024-06-29,16916,231,227,2024
Fayette,2024-06-29,15683,208,488,2024
Fentress,2024-06-29,7360,148,233,2024
Franklin,2024-06-29,18073,219,220,2024
Gibson,2024-06-29,24733,311,329,2024
Giles,2024-06-29,12326,219,303,2024
Grainger,2024-06-29,8962,130,126,2024
Greene,2024-06-29,31218,450,868,2024
Grundy,2024-06-29,5023,85,119,2024
Hamblen,2024-06-29,26799,403,385,2024
Hamilton,2024-06-29,132054,1331,3246,2024
Hancock,2024-06-29,2912,44,64,2024
Hardeman,2024-06-29,10300,147,223,2024
Hardin,2024-06-29,12245,180,201,2024
Hawkins,2024-06-29,24593,397,647,2024
Haywood,2024-06-29,8970,110,162,2024
Henderson,2024-06-29,12339,199,210,2024
Henry,2024-06-29,11077,186,308,2024
Hickman,2024-06-29,9179,132,187,2024
Houston,2024-06-29,3254,68,106,2024
Humphreys,2024-06-29,6709,88,188,2024
Jackson,2024-06-29,4276,78,143,2024
Jefferson,2024-06-29,21358,325,297,2024
Johnson,2024-06-29,6800,121,223,2024
Knox,2024-06-29,173098,1689,2997,2024
Lake,2024-06-29,3449,49,54,2024
Lauderdale,2024-06-29,10408,121,169,2024
Lawrence,2024-06-29,17892,239,515,2024
Lewis,2024-06-29,4385,73,106,2024
Lincoln,2024-06-29,12549,197,259,2024
Loudon,2024-06-29,21941,240,270,2024
Macon,2024-06-29,11491,166,288,2024
Madison,2024-06-29,45830,501,555,2024
Marion,2024-06-29,11911,152,307,2024
Marshall,2024-06-29,13686,146,254,2024
Maury,2024-06-29,38478,408,704,2024
McMinn,2024-06-29,20744,306,476,2024
McNairy,2024-06-29,10413,152,135,2024
Meigs,2024-06-29,4500,65,123,2024
Monroe,2024-06-29,19954,283,487,2024
Montgomery,2024-06-29,71898,663,750,2024
Moore,2024-06-29,3052,41,44,2024
Morgan,2024-06-29,8742,107,99,2024
Obion,2024-06-29,14653,227,308,2024
Overton,2024-06-29,9171,139,272,2024
Perry,2024-06-29,3130,64,68,2024
Pickett,2024-06-29,2422,41,87,2024
Polk,2024-06-29,6004,90,178,2024
Putnam,2024-06-29,32080,353,752,2024
Rhea,2024-06-29,12728,176,247,2024
Roane,2024-06-29,21907,291,311,2024
Robertson,2024-06-29,29961,363,949,2024
Rutherford,2024-06-29,126513,1036,1843,2024
Scott,2024-06-29,13540,144,143,2024
Sequatchie,2024-06-29,5512,81,130,2024
Sevier,2024-06-29,39462,477,554,2024
Shelby,2024-06-29,321329,3864,9896,2024
Smith,2024-06-29,7814,105,164,2024
Stewart,2024-06-29,4041,75,90,2024
Sullivan,2024-06-29,68389,880,2241,2024
Sumner,2024-06-29,70919,860,1838,2024
Tipton,2024-06-29,24577,274,558,2024
Trousdale,2024-06-29,5023,53,117,2024
Unicoi,2024-06-29,7357,113,252,2024
Union,2024-06-29,7505,86,95,2024
Van Buren,2024-06-29,2450,56,53,2024
Warren,2024-06-29,16758,198,225,2024
Washington,2024-06-29,54601,592,1359,2024
Wayne,2024-06-29,7418,100,131,2024
Weakley,2024-06-29,12876,191,233,2024
White,2024-06-29,10553,157,296,2024
Williamson,2024-06-29,83380,479,1000,2024
Wilson,2024-06-29,56534,565,1084,2024
Unknown,2024-06-29,111394,504,1291,2024
Anderson,2024-06-22,30590,426,394,2024
Bedford,2024-06-22,19784,266,397,2024
Benton,2024-06-22,6479,106,140,2024
Bledsoe,2024-06-22,5851,65,106,2024
Blount,2024-06-22,55480,588,1070,2024
Bradley,2024-06-22,41950,490,1315,2024
Campbell,2024-06-22,18069,199,194,2024
Cannon,2024-06-22,5496,79,112,2024
Carroll,2024-06-22,13238,183,281,2024
Carter,2024-06-22,23875,394,808,2024
Cheatham,2024-06-22,14210,154,281,2024
Chester,2024-06-22,7845,108,109,2024
Claiborne,2024-06-22,12478,224,175,2024
Clay,2024-06-22,2831,63,88,2024
Cocke,2024-06-22,16315,258,184,2024
Coffee,2024-06-22,23045,317,460,2024
Crockett,2024-06-22,7564,99,77,2024
Cumberland,2024-06-22,21231,362,377,2024
Davidson,2024-06-22,254065,1945,4625,2024
Decatur,2024-06-22,4949,87,103,2024
Dekalb,2024-06-22,8541,120,157,2024
Dickson,2024-06-22,22890,282,497,2024
Dyer,2024-06-22,16912,231,227,2024
Fayette,2024-06-22,15666,208,488,2024
Fentress,2024-06-22,7359,147,233,2024
Franklin,2024-06-22,18055,219,220,2024
Gibson,2024-06-22,24723,311,329,2024
Giles,2024-06-22,12324,219,303,2024
Grainger,2024-06-22,8960,130,126,2024
Greene,2024-06-22,31213,450,868,2024
Grundy,2024-06-22,5019,85,119,2024
Hamblen,2024-06-22,26788,403,385,2024
Hamilton,2024-06-22,131988,1331,3246,2024
Hancock,2024-06-22,2910,44,64,2024
Hardeman,2024-06-22,10297,147,223,2024
Hardin,2024-06-22,12236,180,201,2024
Hawkins,2024-06-22,24584,397,647,2024
Haywood,2024-06-22,8959,110,162,2024
Henderson,2024-06-22,12336,199,210,2024
Henry,2024-06-22,11072,186,308,2024
Hickman,2024-06-22,9168,132,187,2024
Houston,2024-06-22,3252,68,106,2024
Humphreys,2024-06-22,6704,88,188,2024
Jackson,2024-06-22,4275,78,143,2024
Jefferson,2024-06-22,21351,325,297,2024
Johnson,2024-06-22,6797,121,223,2024
Knox,2024-06-22,172978,1689,2997,2024
Lake,2024-06-22,3446,49,54,2024
Lauderdale,2024-06-22,10406,121,169,2024
Lawrence,2024-06-22,17889,239,515,2024
Lewis,2024-06-22,4373,73,106,2024
Lincoln,2024-06-22,12547,197,259,2024
Loudon,2024-06-22,21915,240,270,2024
Macon,2024-06-22,11485,166,288,2024
Madison,2024-06-22,45793,501,555,2024
Marion,2024-06-22,11904,152,307,2024
Marshall,2024-06-22,13680,146,254,2024
Maury,2024-06-22,38447,408,704,2024
McMinn,2024-06-22,20740,306,476,2024
McNairy,2024-06-22,10410,152,135,2024
Meigs,2024-06-22,4497,65,123,2024
Monroe,2024-06-22,19947,283,487,2024
Montgomery,2024-06-22,71836,663,750,2024
Moore,2024-06-22,3051,41,44,2024
Morgan,2024-06-22,8736,107,99,2024
Obion,2024-06-22,14649,227,308,2024
Overton,2024-06-22,9167,139,272,2024
Perry,2024-06-22,3130,64,68,2024
Pickett,2024-06-22,2421,41,87,2024
Polk,2024-06-22,6003,90,178,2024
Putnam,2024-06-22,32052,353,751,2024
Rhea,2024-06-22,12723,176,247,2024
Roane,2024-06-22,21891,291,311,2024
Robertson,2024-06-22,29940,363,949,2024
Rutherford,2024-06-22,126439,1036,1843,2024
Scott,2024-06-22,13536,144,143,2024
Sequatchie,2024-06-22,5510,81,130,2024
Sevier,2024-06-22,39440,476,554,2024
Shelby,2024-06-22,321079,3864,9894,2024
Smith,2024-06-22,7813,105,164,2024
Stewart,2024-06-22,4036,75,90,2024
Sullivan,2024-06-22,68338,880,2241,2024
Sumner,2024-06-22,70851,859,1838,2024
Tipton,2024-06-22,24561,274,558,2024
Trousdale,2024-06-22,5022,53,117,2024
Unicoi,2024-06-22,7355,113,252,2024
Union,2024-06-22,7500,86,95,2024
Van Buren,2024-06-22,2449,56,53,2024
Warren,2024-06-22,16751,198,225,2024
Washington,2024-06-22,54569,591,1358,2024
Wayne,2024-06-22,7415,100,131,2024
Weakley,2024-06-22,12875,191,233,2024
White,2024-06-22,10546,157,296,2024
Williamson,2024-06-22,83315,479,1000,2024
Wilson,2024-06-22,56497,565,1082,2024
Unknown,2024-06-22,111318,504,1291,2024
Anderson,2024-06-15,30575,426,394,2024
Bedford,2024-06-15,19781,265,396,2024
Benton,2024-06-15,6477,106,140,2024
Bledsoe,2024-06-15,5849,65,106,2024
Blount,2024-06-15,55457,588,1070,2024
Bradley,2024-06-15,41940,490,1315,2024
Campbell,2024-06-15,18059,199,194,2024
Cannon,2024-06-15,5496,79,112,2024
Carroll,2024-06-15,13232,183,281,2024
Carter,2024-06-15,23859,394,806,2024
Cheatham,2024-06-15,14203,154,281,2024
Chester,2024-06-15,7841,108,109,2024
Claiborne,2024-06-15,12475,224,175,2024
Clay,2024-06-15,2830,63,88,2024
Cocke,2024-06-15,16308,258,184,2024
Coffee,2024-06-15,23035,317,460,2024
Crockett,2024-06-15,7561,99,77,2024
Cumberland,2024-06-15,21224,362,377,2024
Davidson,2024-06-15,253964,1945,4621,2024
Decatur,2024-06-15,4948,87,103,2024
Dekalb,2024-06-15,8540,120,157,2024
Dickson,2024-06-15,22874,282,497,2024
Dyer,2024-06-15,16908,231,227,2024
Fayette,2024-06-15,15658,208,488,2024
Fentress,2024-06-15,7359,147,233,2024
Franklin,2024-06-15,18045,219,220,2024
Gibson,2024-06-15,24713,311,329,2024
Giles,2024-06-15,12324,219,303,2024
Grainger,2024-06-15,8958,130,126,2024
Greene,2024-06-15,31210,450,868,2024
Grundy,2024-06-15,5016,85,119,2024
Hamblen,2024-06-15,26781,403,385,2024
Hamilton,2024-06-15,131738,1331,3246,2024
Hancock,2024-06-15,2909,44,64,2024
Hardeman,2024-06-15,10294,147,222,2024
Hardin,2024-06-15,12233,180,201,2024
Hawkins,2024-06-15,24573,396,647,2024
Haywood,2024-06-15,8958,110,162,2024
Henderson,2024-06-15,12330,199,209,2024
Henry,2024-06-15,11069,186,308,2024
Hickman,2024-06-15,9164,132,187,2024
Houston,2024-06-15,3250,68,106,2024
Humphreys,2024-06-15,6701,88,188,2024
Jackson,2024-06-15,4273,78,143,2024
Jefferson,2024-06-15,21339,325,297,2024
Johnson,2024-06-15,6796,121,223,2024
Knox,2024-06-15,172897,1689,2997,2024
Lake,2024-06-15,3446,49,54,2024
Lauderdale,2024-06-15,10403,121,169,2024
Lawrence,2024-06-15,17886,239,515,2024
Lewis,2024-06-15,4373,73,106,2024
Lincoln,2024-06-15,12547,197,259,2024
Loudon,2024-06-15,21896,240,270,2024
Macon,2024-06-15,11482,166,288,2024
Madison,2024-06-15,45780,501,555,2024
Marion,2024-06-15,11898,152,307,2024
Marshall,2024-06-15,13674,146,254,2024
Maury,2024-06-15,38436,408,704,2024
McMinn,2024-06-15,20737,305,476,2024
McNairy,2024-06-15,10409,152,135,2024
Meigs,2024-06-15,4495,65,123,2024
Monroe,2024-06-15,19944,283,487,2024
Montgomery,2024-06-15,71793,663,750,2024
Moore,2024-06-15,3050,41,44,2024
Morgan,2024-06-15,8727,107,99,2024
Obion,2024-06-15,14646,227,308,2024
Overton,2024-06-15,9165,139,272,2024
Perry,2024-06-15,3128,64,68,2024
Pickett,2024-06-15,2421,41,87,2024
Polk,2024-06-15,6001,90,178,2024
Putnam,2024-06-15,32029,353,750,2024
Rhea,2024-06-15,12718,176,247,2024
Roane,2024-06-15,21885,291,311,2024
Robertson,2024-06-15,29925,363,949,2024
Rutherford,2024-06-15,126404,1036,1842,2024
Scott,2024-06-15,13534,144,143,2024
Sequatchie,2024-06-15,5506,81,130,2024
Sevier,2024-06-15,39419,476,554,2024
Shelby,2024-06-15,320926,3862,9894,2024
Smith,2024-06-15,7811,105,164,2024
Stewart,2024-06-15,4035,75,90,2024
